,Filim_adi,Filim_il,Filim_reytingi
154,The Elephant Man,(1980),8.1
155,Chinatown,(1974),8.1
156,Raging Bull,(1980),8.1
157,Vendetta üçün V,(2005),8.1
158,Gone with the Wind,(1939),8.1
159,"Lock, Stock and Two Smoking Barrels",(1998),8.1
160,Tərsinə,(2015),8.1
161,Dial M for Murder,(1954),8.1
162,El secreto de sus ojos,(2009),8.1
163,Hauru no ugoku shiro,(2004),8.1
164,"Three Billboards Outside Ebbing, Missouri",(2017),8.1
165,The Bridge on the River Kwai,(1957),8.1
166,Trainspotting,(1996),8.1
167,Esirler,(2013),8.1
168,Warrior,(2011),8.1
169,Fargo,(1996),8.1
170,Gran Torino,(2008),8.1
171,Tonari no Totoro,(1988),8.1
172,Catch Me If You Can,(2002),8.1
173,Million Dollar Baby,(2004),8.1
174,Bacheha-Ye aseman,(1997),8.1
175,Blade Runner,(1982),8.1
176,The Gold Rush,(1925),8.1
177,Before Sunrise,(1995),8.1
178,Klaus,(2019),8.1
179,12 Years a Slave,(2013),8.1
180,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
181,On the Waterfront,(1954),8.1
182,Ben-Hur,(1959),8.1
183,Böyük Budapesht Oteli,(2014),8.1
184,Itmis Qiz,(2014),8.1
185,Smultronstället,(1957),8.1
186,The General,(1926),8.1
187,The Third Man,(1949),8.1
188,In the Name of the Father,(1993),8.1
189,The Deer Hunter,(1978),8.1
190,Barry Lyndon,(1975),8.1
191,Hacksaw Ridge,(2016),8.1
192,Le salaire de la peur,(1953),8.1
193,Salinui chueok,(2003),8.1
194,Sherlock Jr.,(1924),8.1
195,Relatos salvajes,(2014),8.1
196,Mr. Smith Goes to Washington,(1939),8.1
197,Mad Max: Fury Road,(2015),8.1
198,Det sjunde inseglet,(1957),8.1
199,Mary and Max.,(2009),8.1
200,How to Train Your Dragon,(2010),8.1
201,Room,(2015),8.1
202,"Monsters, Inc.",(2001),8.1
203,Jaws,(1975),8.1
204,Dead Poets Society,(1989),8.1
205,The Big Lebowski,(1998),8.1
206,Tôkyô monogatari,(1953),8.1
207,La passion de Jeanne d'Arc,(1928),8.1
208,Hotel Rwanda,(2004),8.0
209,Ford v Ferrari,(2019),8.0
210,Rocky,(1976),8.0
211,Platoon,(1986),8.0
212,Ratatouille,(2007),8.0
213,Spotlight,(2015),8.0
214,The Terminator,(1984),8.0
215,Logan,(2017),8.0
216,Stand by Me,(1986),8.0
217,Rush,(2013),8.0
218,Network,(1976),8.0
219,Before Sunset,(2004),8.0
220,Into the Wild,(2007),8.0
221,The Wizard of Oz,(1939),8.0
222,Pather Panchali,(1955),8.0
223,Groundhog Day,(1993),8.0
224,The Best Years of Our Lives,(1946),8.0
225,The Exorcist,(1973),8.0
226,To Be or Not to Be,(1942),8.0
227,The Incredibles,(2004),8.0
228,La haine,(1995),8.0
229,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0
230,La battaglia di Algeri,(1966),8.0
231,Jai Bhim,(2021),8.0
232,The Grapes of Wrath,(1940),8.0
233,Hachi: A Dog's Tale,(2009),8.0
234,Atam ve Oghlum,(2005),8.0
235,Amores perros,(2000),8.0
236,Rebecca,(1940),8.0
237,Cool Hand Luke,(1967),8.0
238,Ah-ga-ssi,(2016),8.0
239,Les quatre cents coups,(1959),8.0
240,The Sound of Music,(1965),8.0
241,It Happened One Night,(1934),8.0
242,Persona,(1966),8.0
243,Life of Brian,(1979),8.0
244,The Iron Giant,(1999),8.0
245,Dersu Uzala,(1975),8.0
246,The Help,(2011),8.0
247,Aladdin,(1992),8.0
248,Gandhi,(1982),8.0
249,Dances with Wolves,(1990),8.0
